"year","trial_name","trial_type","plot_width","plot_length","plant_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","CMD_harvest","branch_number","CMD_1mon","height_1st_branch","yield_ha","root_weight_plot","vigor1_5","root_number_commercial","planted_number_plot","plant_type","height","harvest_number","root_type1_5","root_rot_number","germinated_number_plot","starch_content","root_shape1_6","harvest_number_plan","germination_perc","yield_ha_v2","starch_yield_ha"
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0019_253",1,253,3,11,"test"," (Operator: lizbethpino, Time: )","VF22-0019","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,1,1,110,11.234375,3.595,2,24,4,2,175,4,5,3,1,25.25573304,1,4,25,11.234375,2.8373237587125
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0020_49",1,49,2,2,"test"," (Operator: lizbethpino, Time: )","VF22-0020","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,0,NA,NA,4,0,NA,NA
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0023_119",1,119,19,5,"test"," (Operator: lizbethpino, Time: )","VF22-0023","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,120,10.234375,3.275,1,18,4,1,120,2,1,0,0.75,21.95111332,1,4,18.75,10.234375,2.24655925384375
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0024_219",1,219,19,9,"test"," (Operator: lizbethpino, Time: )","VF22-0024","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,200,45.234375,14.475,3,59,4,1,200,4,2,0,1,22.55453202,3,4,25,45.234375,10.2024015934219
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0025_228",1,228,23,10,"test"," (Operator: lizbethpino, Time: )","VF22-0025","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,0.5,NA,NA,4,12.5,NA,NA
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0027_297",1,297,4,12,"test"," (Operator: lizbethpino, Time: )","VF22-0027","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,125,1.5625,0.5,3,5,4,1,125,4,5,3,1,25.31526316,5,4,25,1.5625,0.395550986875
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0028_188",1,188,13,8,"test"," (Operator: lizbethpino, Time: )","VF22-0028","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,245,43.109375,13.795,2,36,4,1,245,4,1,0,1,24,3,4,25,43.109375,10.34625
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0030_14",1,14,14,1,"test"," (Operator: lizbethpino, Time: )","VF22-0030","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,315,20.5,6.56,3,15,4,1,315,4,4,2,1,16.36932468,3,4,25,20.5,3.3557115594
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0031_204",1,204,4,9,"test"," (Operator: lizbethpino, Time: )","VF22-0031","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,300,44.03125,14.09,3,41,4,1,300,4,2,2,1,23.5,3,4,25,44.03125,10.34734375
2023,"202307DMF1C_tani","202307DMF1C_tani",1,3.2,"2023-April-04","Tay Ninh",NA,"202307DMF1C_tani_rep1_VF22-0036_82",1,82,19,4,"test"," (Operator: lizbethpino, Time: )","VF22-0036","test",11.67,106.1,20,NA,"Vietnam",NA,"tani",1,0,1,275,40,12.8,3,33,4,1,275,4,1,0,1,26.3,3,4,25,40,10.52
